"","Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Families","Median family income (dollars)","Mean family income (dollars)"
"Canyon County, Idaho","46991","47302","56989"
"Caribou County, Idaho","1950","63545","68043"
"Cassia County, Idaho","5514","51608","62177"
"Clark County, Idaho","227","33897","50562"
"Clearwater County, Idaho","2347","49267","58928"
"Custer County, Idaho","1147","60954","66046"
"Elmore County, Idaho","6684","49157","60030"
"Franklin County, Idaho","3161","56044","61048"
"Fremont County, Idaho","3441","51964","62337"
"Gem County, Idaho","4539","49872","60541"
"Gooding County, Idaho","3948","45093","57230"
"Idaho County, Idaho","4509","44962","50209"
"Jefferson County, Idaho","6690","56195","68055"
"Jerome County, Idaho","5686","46585","55146"
"Kootenai County, Idaho","38681","56911","70299"
"Latah County, Idaho","8474","60899","73013"
"Lemhi County, Idaho","2317","53709","61894"
"Lewis County, Idaho","1051","48894","53225"
"Lincoln County, Idaho","1254","47756","55058"
"Madison County, Idaho","8084","37385","57758"
"Minidoka County, Idaho","5233","49733","63073"
"Nez Perce County, Idaho","10304","58875","68198"
"Oneida County, Idaho","1124","46802","54564"
"Owyhee County, Idaho","2786","37118","50001"
"Payette County, Idaho","5771","51998","59377"
"Power County, Idaho","2031","45837","54994"
"Shoshone County, Idaho","3576","47768","55666"
"Teton County, Idaho","2357","62389","68578"
"Twin Falls County, Idaho","19950","50795","61834"
"Valley County, Idaho","2394","60100","70324"
"Washington County, Idaho","2589","46690","58643"
"Adams County, Illinois","17503","58992","71365"
"Alexander County, Illinois","1937","33977","41140"
"Bond County, Illinois","4264","61238","69236"
"Boone County, Illinois","14042","67049","82389"
"Brown County, Illinois","1367","64292","71680"
"Bureau County, Illinois","9216","60525","74052"
"Calhoun County, Illinois","1447","61464","74607"
"Carroll County, Illinois","4369","56063","70298"
"Cass County, Illinois","3522","53871","61741"
"Champaign County, Illinois","42670","69554","86155"
"Christian County, Illinois","9071","56066","66786"
"Clark County, Illinois","4596","55434","67858"
"Clay County, Illinois","3616","52000","62788"
"Clinton County, Illinois","9800","76109","85783"
"Coles County, Illinois","11880","53465","69799"
"Cook County, Illinois","1186609","66187","92208"
"Crawford County, Illinois","5177","59235","74925"
"Cumberland County, Illinois","2878","54423","67611"
